Position,Team,Driver,Time,Lap,Points,Location
28,AlphaTauri,Tsunoda,3.66,34,0,Qatar
29,Williams,Russell,8.59,49,0,Qatar
30,Mercedes,Bottas,11.49,33,0,Qatar
1,Red Bull,Perez,2.2,10,25,Jeddah
2,Ferrari,Leclerc,2.48,10,18,Jeddah
3,Alpine,Alonso,2.48,10,15,Jeddah
4,Mercedes,Hamilton,2.49,10,12,Jeddah
5,Williams,Russell,2.5,9,10,Jeddah
6,McLaren,Norris,2.99,10,8,Jeddah
7,Alpine,Alonso,3.24,44,0,Jeddah
8,Mercedes,Bottas,3.49,10,6,Jeddah
9,Williams,Latifi,6.44,10,4,Jeddah
10,Aston Martin,Stroll,8.94,9,2,Jeddah
11,AlphaTauri,Tsunoda,9.78,23,1,Jeddah
12,Alfa Romeo,Raikkonen,16.09,26,0,Jeddah
1,Red Bull,Verstappen,2.12,13,25,Abu Dhabi
2,Ferrari,Leclerc,2.22,35,18,Abu Dhabi
3,Red Bull,Perez,2.31,36,15,Abu Dhabi
4,Williams,Latifi,2.38,28,12,Abu Dhabi
5,Alpine,Alonso,2.43,36,10,Abu Dhabi
6,Red Bull,Perez,2.43,21,0,Abu Dhabi
7,McLaren,Norris,2.44,17,8,Abu Dhabi
8,McLaren,Ricciardo,2.44,18,6,Abu Dhabi
9,Mercedes,Hamilton,2.45,14,4,Abu Dhabi
10,Red Bull,Verstappen,2.46,53,0,Abu Dhabi
11,Mercedes,Bottas,2.48,30,2,Abu Dhabi
12,Aston Martin,Vettel,2.51,23,1,Abu Dhabi
13,Red Bull,Perez,2.6,53,0,Abu Dhabi
14,Red Bull,Verstappen,2.62,36,0,Abu Dhabi
15,Alpine,Ocon,2.74,15,0,Abu Dhabi
16,Ferrari,Sainz,2.85,19,0,Abu Dhabi
17,AlphaTauri,Gasly,2.94,36,0,Abu Dhabi
18,Alfa Romeo,Giovinazzi,3.02,17,0,Abu Dhabi
19,McLaren,Ricciardo,3.12,52,0,Abu Dhabi
20,Aston Martin,Stroll,3.14,21,0,Abu Dhabi
21,Aston Martin,Stroll,3.17,52,0,Abu Dhabi
22,Haas,Schumacher,3.21,10,0,Abu Dhabi
23,AlphaTauri,Tsunoda,3.22,53,0,Abu Dhabi
24,Alfa Romeo,Raikkonen,3.24,21,0,Abu Dhabi
25,McLaren,Norris,3.36,48,0,Abu Dhabi
26,Haas,Schumacher,3.39,52,0,Abu Dhabi
27,Ferrari,Leclerc,3.44,15,0,Abu Dhabi
28,AlphaTauri,Gasly,3.46,54,0,Abu Dhabi
29,AlphaTauri,Tsunoda,3.5,23,0,Abu Dhabi
